id,University Name,Type,Establish Year,City,State,Country,Review Rating,Status
164,Duke University Educo,PRIVATE,1892,Durham,North Carolina,United States,5.0,DRAFT
100,Florida Polytechnic University,PUBLIC,2012,Lakeland,Florida,United States,5.0,DRAFT
155,Gisma University of Applied Sciences,PRIVATE,1999,Potsdam,Lower Saxony,Germany,5.0,DRAFT
254,Les Roches International School of Hotel Management,PRIVATE,1954,Crans-Montana,Valais,Switzerland,5.0,DRAFT
322,Munich Business School,PRIVATE,1991,Bavaria,Bavaria,Germany,5.0,DRAFT
62,Cegep De La Gaspesie Et Des Iles,PUBLIC,1968,Gaspe,Quebec,Canada,5.0,DRAFT
222,INTO - Suffolk University Boston,PRIVATE,1906,Boston,Massachusetts,United States,5.0,DRAFT
213,INTO - George Mason University,PUBLIC,1957,Fairfax,Virginia,United States,5.0,DRAFT
518,UiT The Arctic University of Norway,PUBLIC,1968,Tromsø,Troms and Finnmark,Norway,4.3,DRAFT
172,Humber International Graduate School,PUBLIC,1967,Ontario,Ontario,United States,5.0,DRAFT
255,Leuphana University,PUBLIC,1946,Lower Saxony,Lower Saxony,Germany,5.0,DRAFT
317,Northern Lights College,PUBLIC,1975,Dawson Creek,British Columbia,Canada,5.0,DRAFT
348,Regis University,PRIVATE,1877,Denver,Colorado,United States,5.0,DRAFT
516,St. Petersburg State University of Economics (UNECON),PUBLIC,1930,Griboyedov channel embankment,St Petersburg,Russia,4.0,DRAFT
263,Macromedia University of Applied Sciences,PRIVATE,1999,Bavaria,Bavaria,Germany,5.0,DRAFT
