id,University Name,Type,Establish Year,City,State,Country,Review Rating,Status
126,Crandall University,PRIVATE,1949,Moncton,New Brunswick,Canada,5.0,DRAFT
127,Georg August University of Gottingen,PUBLIC,1734,Lower Saxony,Lower Saxony,Germany,5.0,DRAFT
197,European Institute of Management and Technology (EIMT),PRIVATE,2013,Ile-de-France,Ile-de-France,France,5.0,DRAFT
168,Hochschule Worms University of Applied Sciences,PUBLIC,1978,Rhineland-Palatinate,Rhineland-Palatinate,Germany,5.0,DRAFT
60,CBS International Business School,PRIVATE,1993,Cologne,North Rhine-Westphalia,Germany,5.0,DRAFT
216,INTO - Long Island University (Post),PRIVATE,1954,New York,New York,United States,5.0,DRAFT
167,Hochschule Schmalkalden - University of Applied Sciences,PUBLIC,1991,Schmalkalden,Thuringia,Germany,5.0,DRAFT
521,Woosong University,PRIVATE,1954,Dong-gu,Daejeon,South Korea,4.1,DRAFT
114,Constructor University,PRIVATE,2001,Bremen,Bremen,Germany,5.0,DRAFT
93,Fleming College,PRIVATE,1967,Peterborough,Ontario,Canada,5.0,DRAFT
223,INTO - The University of Alabama at Birmingham,PUBLIC,1969,Birmingham,Alabama,United States,5.0,DRAFT
218,INTO - Montclair State University,PUBLIC,1908,Montclair,New Jersey,United States,5.0,DRAFT
27,Burgundy School of Business,PUBLIC,1899,Bourgogne,Bourgogne,France,5.0,DRAFT
212,INTO - Drew University,PRIVATE,1867,Madison,New Jersey,United States,5.0,DRAFT
219,INTO - New England College,PRIVATE,1946,New Hampshire,New Hampshire,United States,5.0,DRAFT
515,Livingstone College,PRIVATE,1879,Salisbury,North Carolina,United States,4.0,DRAFT
120,Fraser International College (NAVITAS),PRIVATE,2006,Burnaby,British Columbia,Canada,5.0,DRAFT
45,California State University Monterey Bay,PUBLIC,1994,California,California,United States,5.0,DRAFT
519,Ural State University of Economics,PUBLIC,1967,"Yekaterinburg (Ekaterinburg), Sverdlovsk Oblast, Russia",Sverdlovsk Oblast,Russia,4.1,DRAFT
16,BITS Pilani Dubai,PRIVATE,2000,Dubai,Dubai,United Arab Emirates,5.0,DRAFT
18,Bow Valley College,PUBLIC,1965,Calgary,Alberta,Canada,5.0,DRAFT
159,Gonzaga University,PRIVATE,1887,Spokane,Washington,United States,5.0,DRAFT
517,Peter the Great St Petersburg Polytechnic University,PUBLIC,1899,Politekhnicheskaya Ulitsa,St Petersburg,Russia,4.2,DRAFT
520,University of Sunderland,PUBLIC,1992,Sunderland,Tyne and Wear,"England, United Kingdom",4.2,DRAFT
151,Harz University of Applied Sciences (HS Harz),PUBLIC,1991,Halberstadt,Saxony-Anhalt,Germany,5.0,DRAFT
514,Università Cattolica del Sacro Cuore,PRIVATE,1921,Milan,Lombardy,Italy,4.6,DRAFT
221,INTO - Saint Louis University,PRIVATE,1818,St. Louis,Missouri,United States,5.0,DRAFT
189,Esaip Engineer School,PRIVATE,1987,Maine-et-Loire,Maine-et-Loire,France,5.0,DRAFT
186,EMLV Business School,PRIVATE,1995,Ile-de-France,Ile-de-France,France,5.0,DRAFT
220,INTO - Oregon State University,PUBLIC,1868,Corvallis,Oregon,United States,5.0,DRAFT
188,EPITA - School of Engineering and Computer Science,PRIVATE,1984,Ile-de-France,Ile-de-France,France,5.0,DRAFT
513,Moscow Pedagogical State University,PUBLIC,1872,Malaya Pirogovskaya Ulitsa,Moscow,Russia,4.3,DRAFT
164,Duke University Educo,PRIVATE,1892,Durham,North Carolina,United States,5.0,DRAFT
155,Gisma University of Applied Sciences,PRIVATE,1999,Potsdam,Lower Saxony,Germany,5.0,DRAFT
254,Les Roches International School of Hotel Management,PRIVATE,1954,Crans-Montana,Valais,Switzerland,5.0,DRAFT
62,Cegep De La Gaspesie Et Des Iles,PUBLIC,1968,Gaspe,Quebec,Canada,5.0,DRAFT
222,INTO - Suffolk University Boston,PRIVATE,1906,Boston,Massachusetts,United States,5.0,DRAFT
233,Johannes Gutenberg University of Mainz,PUBLIC,1477,Mainz,Rhineland-Palatinate,Germany,5.0,DRAFT
213,INTO - George Mason University,PUBLIC,1957,Fairfax,Virginia,United States,5.0,DRAFT
518,UiT The Arctic University of Norway,PUBLIC,1968,Tromsø,Troms and Finnmark,Norway,4.3,DRAFT
172,Humber International Graduate School,PUBLIC,1967,Ontario,Ontario,United States,5.0,DRAFT
255,Leuphana University,PUBLIC,1946,Lower Saxony,Lower Saxony,Germany,5.0,DRAFT
229,Jacksonville State University,PUBLIC,1883,Jacksonville,Alabama,United States,5.0,DRAFT
516,St. Petersburg State University of Economics (UNECON),PUBLIC,1930,Griboyedov channel embankment,St Petersburg,Russia,4.0,DRAFT
263,Macromedia University of Applied Sciences,PRIVATE,1999,Bavaria,Bavaria,Germany,5.0,DRAFT
